gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,charge_per_month_ratio,is_new_customer,has_internet_addon,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,tenure_group_13-24,tenure_group_25-48,tenure_group_49-60,tenure_group_61+,monthly_charge_category_Medium,monthly_charge_category_High,monthly_charge_category_Very High
1,0,0,0,-1.2413308272103278,1,0,0.19316450620639225,-0.946350640120854,-0.23547646721578575,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0,0,0,0,-0.7110781194995532,1,1,0.6473551391691115,-0.43534589159229437,0.325140461494455,0,2,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
1,0,1,1,1.4099327113435454,1,1,0.8203801422025286,1.7945469843289024,0.5250266038871507,0,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
1,0,0,0,-1.1189648177386107,1,1,0.023466907077463767,-0.8587460565269909,-0.07711297083045747,1,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1,0,0,0,-0.26240275143659014,1,1,-1.4838470616559571,-0.783389402918515,-0.6896924518149959,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
0,0,0,0,-1.1597534875625164,1,1,-0.01646193977640131,-0.8969631163377675,-0.17537955063878932,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,0,1,1,-0.38476876090830736,1,0,-1.5071388889873785,-0.8205949640231375,-0.7085028167821327,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0
1,1,0,0,-1.2413308272103278,1,1,0.32626066238594376,-0.9354880235808518,-0.1017472924903974,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,0,0,0,0.7573139941610534,1,0,-1.5237759085098224,-0.5650156279007809,-0.6824550931081028,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0
1,0,1,1,-0.1400367419648729,1,0,0.505940473228338,-0.035518044331448465,0.2002532486505809,0,4,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0
1,0,0,0,-1.1597534875625164,1,1,0.6906113899274662,-0.8591858385731449,0.10366505119710194,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
1,0,0,0,-1.0373874780907992,1,1,0.7288765348290869,-0.7354091816831212,0.26225188071835825,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
